Title,Name,Team,Name Trend,Team Trend,Year,Print Run,Patch,Jsy,Sticker,Rookie,Memorbilia,Autographed,Serial Number,Cost
2005-06 Artifacts #210 Jussi Jokinen RC , Jussi Jokinen,Dallas Stars,1264,823,2005,750,0,0,0,1,0,0,1,8
2005-06 Artifacts #215 Matt Foy RC , Matt Foy,Minnesota Wild,371,2085,2005,750,0,0,0,1,0,0,1,2.45
2005-06 Artifacts #219 Henrik Lundqvist RC /750, Henrik Lundqvist,New York Rangers,1516,2592,2005,750,0,0,0,1,0,0,1,18.75
2005-06 Artifacts #225 Ryane Clowe RC , Ryane Clowe,San Jose Sharks,803,867,2005,750,0,0,0,1,0,0,1,10
2005-06 Artifacts #237 Petteri Nokelainen RC , Petteri Nokelainen,New York Islanders,100,1697,2005,750,0,0,0,1,0,0,1,6
2005-06 Artifacts #248 Milan Jurcina RC , Milan Jurcina,Boston Bruins,196,1076,2005,750,0,0,0,1,0,0,1,7.2
2005-06 Artifacts #257 Chad Larose RC , Chad Larose,Carolina Hurricanes,1142,796,2005,750,0,0,0,1,0,0,1,5
2005-06 Artifacts #261 Martin St. Pierre RC , Martin St. Pierre,Chicago Blackhawks,100,2291,2005,750,0,0,0,1,0,0,1,5
2005-06 Artifacts #263 James Wisniewski RC , James Wisniewski,Chicago Blackhawks,1145,2291,2005,750,0,0,0,1,0,0,1,6
2005-06 Artifacts #274 Kyle Quincey RC , Kyle Quincey,Detroit Red Wings,1894,1931,2005,750,0,0,0,1,0,0,1,6
2005-06 Artifacts #278 J-F Jacques RC , Jean-Francois Jacques,Edmonton Oilers,100,2477,2005,750,0,0,0,1,0,0,1,5
2005-06 Artifacts #298 Jason Ryznar RC , Jason Ryznar,New Jersey Devils,0,2499,2005,750,0,0,0,1,0,0,1,6
2005-06 Artifacts #307 R.J. Umberger RC , R.J. Umberger,Philadelphia Flyers,100,1906,2005,750,0,0,0,1,0,0,1,6
2005-06 Artifacts #312 Matt Jones RC , Matt Jones,Phoenix Coyotes,1240,2100,2005,750,0,0,0,1,0,0,1,5
2005-06 Artifacts #314 Erik Christensen RC , Erik Christensen,Pittsburgh Penguins,194,1838,2005,750,0,0,0,1,0,0,1,6
